Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Harry Maguire,ENG,DF,26,42,42,3730,2,2,0,0,5,0,0.05,0.05,0.1,0.05,0.1,2.2,2.2,0.5,0.06,0.01,0.08,0.06,0.08
Victor Lindelöf,SWE,DF,25,36,36,3202,1,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,0.4,0.4,0.4,0.01,0.02,0.03,0.01,0.03
Fred,BRA,MF,26,40,34,3151,2,4,0,0,11,0,0.06,0.11,0.17,0.06,0.17,2.8,2.8,3.4,0.1,0.12,0.22,0.1,0.22
Aaron Wan-Bissaka,ENG,DF,21,35,35,3139,0,2,0,0,6,0,0,0.06,0.06,0,0.06,0.4,0.4,2.6,0.01,0.09,0.1,0.01,0.1
David de Gea,ESP,GK,28,33,33,2970,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel James,WAL,FW,21,38,33,2827,4,6,0,0,4,0,0.13,0.19,0.32,0.13,0.32,3.8,3.8,4.3,0.14,0.16,0.3,0.14,0.3
Anthony Martial,FRA,FW,23,35,31,2593,16,5,1,2,1,0,0.56,0.17,0.73,0.52,0.69,10.5,9,2.5,0.43,0.1,0.53,0.36,0.46
Marcus Rashford,ENG,FW,21,32,28,2447,19,6,6,8,2,0,0.7,0.22,0.92,0.48,0.7,16.4,11.1,3.3,0.68,0.14,0.81,0.46,0.59
Andreas Pereira,BRA,FW,23,37,25,2233,2,4,0,0,4,0,0.08,0.16,0.24,0.08,0.24,2.5,2.5,3.8,0.14,0.21,0.35,0.14,0.35
Scott McTominay,SCO,MF,22,28,25,2148,5,1,0,0,3,0,0.21,0.04,0.25,0.21,0.25,1.9,1.9,1.2,0.09,0.05,0.14,0.09,0.14
Luke Shaw,ENG,DF,24,27,23,1994,1,2,0,0,7,0,0.05,0.09,0.14,0.05,0.14,0.5,0.5,1.2,0.03,0.06,0.09,0.03,0.09
Brandon Williams,ENG,DF,18,26,19,1800,1,0,0,0,8,0,0.05,0,0.05,0.05,0.05,0.6,0.6,0.5,0.04,0.03,0.08,0.04,0.08
Juan Mata,ESP,MF,31,31,19,1768,3,5,1,1,1,0,0.15,0.25,0.41,0.1,0.36,3.3,2.5,3.9,0.21,0.26,0.47,0.17,0.42
Nemanja Matić,SRB,MF,30,23,20,1767,1,2,0,0,3,1,0.05,0.1,0.15,0.05,0.15,0.2,0.2,1,0.02,0.07,0.08,0.02,0.08
Mason Greenwood,ENG,FW,17,37,16,1728,12,2,1,1,0,0,0.62,0.1,0.73,0.57,0.68,3.8,3.8,1,0.3,0.08,0.38,0.3,0.38
Jesse Lingard,ENG,MF,26,35,18,1720,2,2,0,0,5,0,0.1,0.1,0.21,0.1,0.21,3.1,3.1,1.8,0.23,0.13,0.36,0.23,0.36
Ashley Young,ENG,DF,34,18,14,1316,1,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,0.2,0.2,1.5,0.02,0.12,0.14,0.02,0.14
Sergio Romero,ARG,GK,32,14,14,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,POR,MF,24,10,9,753,4,4,3,3,1,0,0.48,0.48,0.96,0.12,0.6,4.1,1.8,1.9,0.53,0.25,0.78,0.23,0.48
Marcos Rojo,ARG,DF,29,9,7,679,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.03,0.06,0.09,0.03,0.09
Paul Pogba,FRA,MF,26,9,6,670,0,2,0,1,0,0,0,0.27,0.27,0,0.27,1.7,0.9,1.5,0.28,0.25,0.53,0.15,0.4
Axel Tuanzebe,ENG,DF,21,10,7,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phil Jones,ENG,DF,27,8,7,563,1,0,0,0,2,0,0.16,0,0.16,0.16,0.16,0.2,0.2,0,0.06,0.01,0.06,0.06,0.06
Diogo Dalot,POR,DF,20,10,6,516,1,0,0,0,1,0,0.17,0,0.17,0.17,0.17,0.4,0.4,0.2,0.1,0.06,0.16,0.1,0.16
Tahith Chong,NED,FW,19,11,4,450,0,2,0,0,0,0,0,0.4,0.4,0,0.4,0.8,0.8,0.2,0.28,0.07,0.36,0.28,0.36
Eric Bailly,CIV,DF,25,6,4,375,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.04,0,0.04,0.04,0.04
Odion Ighalo,NGA,FW,30,9,3,335,4,1,0,0,0,0,1.07,0.27,1.34,1.07,1.34,2.9,2.9,0.6,1.05,0.21,1.26,1.05,1.26
James Garner,ENG,MF,18,6,3,317,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.05,0,0.05,0.05,0.05
Angel Gomes,ENG,FW,18,6,3,293,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.7,0.13,0.23,0.36,0.13,0.36
Ethan Laird,ENG,DF,18,2,1,113,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0,0.04,0.04,0,0.04
Lee Grant,ENG,GK,36,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Di'Shon Bernard,ENG,DF,18,1,1,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dylan Levitt,WAL,MF,18,1,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.03,0.07,0.1,0.03,0.1
D'Mani Bughail-Mellor,ENG,FW,18,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Largie Ramazani,BEL,MF,18,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethan Galbraith,NIR,FW,18,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
